"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Hg";"Ni";"Cr";"Pb";"Cd";"Zn";"Cu";"As";"Ag"
"1";"1999";"P1999/03603";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.1";"0.16";"0.12";"0.053";"28";"26";NA;NA
"2";"1999";"P1999/03600";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.3";"0.22";"0.063";"0.39";"20";"18";NA;NA
"3";"1999";"P1999/03602";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.17";"0.1";"0.086";"0.078";"53";"21";NA;NA
"4";"1999";"P1999/03598";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.15";"0.16";"0.037";"0.15";"50";"12";NA;NA
"5";"1999";"P1999/03599";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.087";"0.14";"0.047";"0.2";"49";"27";NA;NA
"6";"1999";"P1999/03605";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.1";"0.16";"0.042";"0.19";"70";"31";NA;NA
"7";"1999";"P1999/03604";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.17";"0.13";"0.065";"0.2";"50";"11";NA;NA
"8";"1999";"P1999/03910";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.038";"0.29";"0.15";"0.3";"99";"7.2";NA;NA
"9";"1999";"P1999/03911";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.13";"0.43";"0.063";"0.32";"100";"12";NA;NA
"10";"1999";"P1999/03905";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.083";"0.32";"0.11";"0.39";"87";"11";NA;NA
"11";"1999";"P1999/03908";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.079";"0.21";"0.14";"0.31";"84";"8.3";NA;NA
"12";"1999";"P1999/03601";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.18";"0.13";"0.028";"0.24";"58";"14";NA;NA
"13";"1999";"P1999/03606";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.061";"0.12";"0.092";"0.069";"38";"12";NA;NA
"14";"1999";"P1999/03607";"SLU";"Gadus morhua";"Fladen";NA;NA;"0.13";"0.18";"0.063";"0.078";"34";"13";NA;NA
"15";"1999";"P1999/03904";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.042";"0.25";"0.058";"0.32";"110";"11";NA;NA
"16";"1999";"P1999/03909";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.091";"0.34";"0.072";"0.38";"120";"12";NA;NA
"17";"1999";"P1999/03906";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.073";"0.3";"0.075";"0.68";"99";NA;NA;NA
"18";"1999";"P1999/03907";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.077";"0.31";"0.07";"0.55";"130";"9.7";NA;NA
"19";"1999";"P1999/03903";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.12";"0.27";"0.075";"0.58";"81";"5.8";NA;NA
"20";"1999";"P1999/03902";"SLU";"Clupea harengus";"Fladen";NA;NA;"0.11";"0.34";"0.057";"0.28";"94";"8.8";NA;NA
"21";"2007";"C2007/03580";"SU";"Perca fluviatilis";"Holmoarna";NA;"42";NA;NA;NA;NA;NA;NA;NA;NA
"22";"2007";"C2007/03579";"SU";"Perca fluviatilis";"Holmoarna";NA;"61.7";NA;NA;NA;NA;NA;NA;NA;NA
"23";"2007";"C2007/03574";"SU";"Perca fluviatilis";"Holmoarna";NA;"75";NA;NA;NA;NA;NA;NA;NA;NA
"24";"2007";"C2007/03581";"SU";"Perca fluviatilis";"Holmoarna";NA;"66.5";NA;NA;NA;NA;NA;NA;NA;NA
"25";"2007";"C2007/03575";"SU";"Perca fluviatilis";"Holmoarna";NA;"42.8";NA;NA;NA;NA;NA;NA;NA;NA
"26";"2007";"C2007/03576";"SU";"Perca fluviatilis";"Holmoarna";NA;"38.8";NA;NA;NA;NA;NA;NA;NA;NA
"27";"2007";"C2007/03582";"SU";"Perca fluviatilis";"Holmoarna";NA;"42";NA;NA;NA;NA;NA;NA;NA;NA
"28";"2007";"C2007/03577";"SU";"Perca fluviatilis";"Holmoarna";NA;"50";NA;NA;NA;NA;NA;NA;NA;NA
"29";"2007";"C2007/03578";"SU";"Perca fluviatilis";"Holmoarna";NA;"59";NA;NA;NA;NA;NA;NA;NA;NA
"30";"1999";"P1999/03539";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.16";"0.18";"0.026";"0.082";"53";"17";NA;NA
"31";"1999";"P1999/03540";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.13";"0.24";"0.027";"0.032";"67";"28";NA;NA
"32";"1999";"P1999/03544";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.045";"0.28";"0.039";"0.047";"110";"73";NA;NA
"33";"1999";"P1999/03538";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.13";"0.22";"0.031";"0.034";"67";"27";NA;NA
"34";"1999";"P1999/03536";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.11";"0.12";"0.047";"0.049";"88";"42";NA;NA
"35";"1999";"P1999/03541";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.055";"0.35";"0.026";"0.028";"62";"25";NA;NA
"36";"1999";"P1999/03542";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.084";"0.2";"0.034";"0.033";"48";"16";NA;NA
"37";"1999";"P1999/03543";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.039";"0.17";"0.027";"0.026";"63";"27";NA;NA
"38";"1999";"P1999/03537";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.09";"0.25";"0.028";"0.057";"66";"14";NA;NA
"39";"1999";"P1999/03535";"SLU";"Gadus morhua";"South Eastern Gotland";NA;NA;"0.07";"0.17";"0.04";"0.024";"47";"15";NA;NA
"40";"1999";"P1999/04504";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.16";"0.24";"0.056";"0.18";"94";"5.7";NA;NA
"41";"1999";"P1999/04512";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.12";"0.35";"0.061";"0.51";"130";"13";NA;NA
"42";"1999";"P1999/04513";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.11";"0.13";"0.043";"0.23";"140";"6.9";NA;NA
"43";"1999";"P1999/04507";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.1";"0.32";"0.085";"0.46";"130";"11";NA;NA
"44";"1999";"P1999/04509";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.24";"0.2";"0.035";"0.37";"77";"8.5";NA;NA
"45";"1999";"P1999/04505";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.12";"0.14";"0.042";"0.21";"82";"6.7";NA;NA
"46";"1999";"P1999/04508";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.041";"0.24";"0.048";"0.34";"82";"5.9";NA;NA
"47";"1999";"P1999/04511";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.06";"0.24";"0.081";"0.37";"96";"9.5";NA;NA
"48";"1999";"P1999/04510";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.13";"0.21";"0.088";"0.42";"110";"11";NA;NA
"49";"1999";"P1999/04506";"SLU";"Clupea harengus";"Vaderoarna";NA;NA;"0.071";"0.24";"0.053";"0.29";"77";"6.9";NA;NA
"50";"1999";"P1999/03603";"SU";"Gadus morhua";"Fladen";NA;NA;"0.03";"0.33";"0.015";"0.017";"39.6";"27.6";"8.34";NA
"51";"1999";"P1999/03600";"SU";"Gadus morhua";"Fladen";NA;NA;"0.34";"0.18";"0.202";"0.314";"145";"19.2";"46.1";NA
"52";"1999";"P1999/03602";"SU";"Gadus morhua";"Fladen";NA;NA;"0.07";"0.24";"0.041";"0.062";"76.9";"30.5";"7.55";NA
"53";"1999";"P1999/03598";"SU";"Gadus morhua";"Fladen";NA;NA;"0.12";"0.79";"0.047";"0.069";"64.2";"11.8";"14.3";NA
"54";"1999";"P1999/03599";"SU";"Gadus morhua";"Fladen";NA;NA;"0.08";"0.26";"0.062";"0.159";"61.2";"20";"11.1";NA
"55";"1999";"P1999/03605";"SU";"Gadus morhua";"Fladen";NA;NA;"0.14";"0.22";"0.053";"0.142";"95.5";"30.2";"15.2";NA
"56";"1999";"P1999/03604";"SU";"Gadus morhua";"Fladen";NA;NA;"0.14";"0.28";"0.049";"0.146";"66.2";"8.81";"17.5";NA
"57";"1999";"P1999/03910";"SU";"Clupea harengus";"Fladen";NA;NA;"0.03";"0.09";"0.043";"0.269";"83.9";"7.92";"13.6";NA
"58";"1999";"P1999/03911";"SU";"Clupea harengus";"Fladen";NA;NA;"0.09";"0.24";"0.038";"0.269";"78.2";"11.5";"11";NA
"59";"1999";"P1999/03905";"SU";"Clupea harengus";"Fladen";NA;NA;"0.04";"0.14";"0.03";"0.331";"83.1";"10.6";"11.7";NA
"60";"1999";"P1999/03908";"SU";"Clupea harengus";"Fladen";NA;NA;"0.05";"0.15";"0.036";"0.244";"74.2";"9.3";"12.7";NA
"61";"1999";"P1999/03601";"SU";"Gadus morhua";"Fladen";NA;NA;"0.37";"0.36";"0.105";"0.209";"84.4";"15";"33.5";NA
"62";"1999";"P1999/03606";"SU";"Gadus morhua";"Fladen";NA;NA;"0.06";"0.3";"0.022";"0.046";"42.8";"13.6";"5.39";NA
"63";"1999";"P1999/03607";"SU";"Gadus morhua";"Fladen";NA;NA;"0.06";"0.26";"0.021";"0.065";"51.8";"20.4";"10.6";NA
"64";"1999";"P1999/03904";"SU";"Clupea harengus";"Fladen";NA;NA;"0.06";"0.17";"0.049";"0.313";"94.6";"11.2";"28.3";NA
"65";"1999";"P1999/03909";"SU";"Clupea harengus";"Fladen";NA;NA;"0.05";"0.13";"0.064";"0.595";"111";"13.8";"12.2";NA
"66";"1999";"P1999/03906";"SU";"Clupea harengus";"Fladen";NA;NA;"0.06";"0.22";"0.062";"0.59";"78.9";NA;"8.51";NA
"67";"1999";"P1999/03907";"SU";"Clupea harengus";"Fladen";NA;NA;"0.17";"0.18";"0.06";"0.716";"101";"9.7";"15.3";NA
"68";"1999";"P1999/03903";"SU";"Clupea harengus";"Fladen";NA;NA;"0.09";"0.15";"0.072";"0.729";"82.4";"9.72";"19.2";NA
"69";"1999";"P1999/03902";"SU";"Clupea harengus";"Fladen";NA;NA;"0.05";"0.04";"0.035";"0.318";"92.4";"11.3";"13.2";NA
"70";"2007";"C2007/03580";"SLU";"Perca fluviatilis";"Holmoarna";NA;"49";NA;NA;NA;NA;NA;NA;NA;NA
"71";"2007";"C2007/03579";"SLU";"Perca fluviatilis";"Holmoarna";NA;"69";NA;NA;NA;NA;NA;NA;NA;NA
"72";"2007";"C2007/03574";"SLU";"Perca fluviatilis";"Holmoarna";NA;"68";NA;NA;NA;NA;NA;NA;NA;NA
"73";"2007";"C2007/03581";"SLU";"Perca fluviatilis";"Holmoarna";NA;"73";NA;NA;NA;NA;NA;NA;NA;NA
"74";"2007";"C2007/03575";"SLU";"Perca fluviatilis";"Holmoarna";NA;"38";NA;NA;NA;NA;NA;NA;NA;NA
"75";"2007";"C2007/03576";"SLU";"Perca fluviatilis";"Holmoarna";NA;"42";NA;NA;NA;NA;NA;NA;NA;NA
"76";"2007";"C2007/03582";"SLU";"Perca fluviatilis";"Holmoarna";NA;"45";NA;NA;NA;NA;NA;NA;NA;NA
"77";"2007";"C2007/03577";"SLU";"Perca fluviatilis";"Holmoarna";NA;"60";NA;NA;NA;NA;NA;NA;NA;NA
