"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"HCB";"AHCH";"BHCH";"LINDAN";"DDE";"DDD";"DDT";"CB28";"CB52";"CB101";"CB118_CLC_analysis";"CB153";"CB138";"CB180";"CB138and163"
"1";"C2018/02088-02099";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.65";"16.8";"<0.61";"<0.61";"<0.61";"9.94";"<1.2";"<1.2";"<0.61";"<0.61";"3.28";"2.25";"12.4";"5.59";"3.14";"9.94"
"2";"C2018/02100-02111";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"0.89";"44.3";"<1.1";"<1.1";"<1.1";"27.8";"<2.2";"<2.2";"<1.11";"<1.1";"6.92";"5.35";"30.9";"13.1";"5.83";"20.4"
"3";"C2018/00067-00078";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.63";"11.9";"<1.6";"<1.6";"<1.6";"136";"15.2";"6.43";"<1.6";"2.89";"26.2";"18.7";"107";"44.3";"50.8";"73.7"
"4";"C2018/00079-00090";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.66";"10.6";"<1.5";"1.7";"<1.5";"162";"15.3";"<3";"<1.5";"3.29";"24.5";"21.1";"109";"52.9";"48.3";"78"
"5";"C2018/05015-05026";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.77";"4.23";"<1.3";"<1.3";"<1.3";"89.6";"<2.6";"<2.6";"<1.3";"2.09";"12.9";"20.1";"109";"40.8";"51.8";"57"
"6";"C2018/05027-05038";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.82";"4.74";"<1.2";"<1.2";"<1.2";"61.1";"<2.4";"<2.4";"<1.2";"2.1";"9.04";"14.1";"65.5";"24.9";"28.4";"36"
"7";"C2018/01157-01168";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.63";"4.63";"<1.6";"<1.6";"<1.6";"176";"22.4";"<3.2";"1.73";"3.89";"23.5";"24";"85.9";"48.1";"28.9";"65.1"
"8";"C2018/01169-01180";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.63";"4.03";"<1.6";"<1.6";"<1.6";"243";"25.4";"<3.2";"1.62";"4";"28.4";"30";"111";"58.7";"38.4";"86.7"
"9";"C2018/00465-00476";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.79";"3.18";"<1.3";"<1.3";"<1.3";"29.2";"<2.5";"<2.5";"<1.3";"<1.3";"4.89";"5.54";"21.9";"11.8";"12.2";"18.6"
"10";"C2018/00477-00488";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.74";"3.57";"<1.4";"<1.4";"<1.4";"29.9";"<2.7";"<2.7";"<1.4";"<1.4";"5.24";"6.91";"21.5";"12.9";"11";"18.6"
"11";"C2018/01400-00411";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.68";"4";"<1.5";"<1.5";"<1.5";"45.3";"6.53";"11.4";"<1.5";"<1.5";"5.13";"6.74";"21.9";"13.3";"11";"22.2"
"12";"C2018/01412-01423";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.71";"3.89";"<1.4";"<1.4";"<1.4";"56.5";"6.25";"13.5";"<1.4";"<1.4";"5.96";"7.14";"27.5";"15.9";"13.8";"25.8"
"13";"C2018/02649-02660";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.39";"15.8";"<0.72";"<0.72";"<0.72";"20.8";"<1.4";"<1.4";"<0.72";"<0.72";"4.47";"3.93";"21.2";"12.2";"7.13";"17"
"14";"C2018/02661-02672";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.44";"15.6";"<0.69";"<0.69";"<0.69";"14.9";"<1.4";"<1.4";"<0.69";"<0.69";"4.53";"4.45";"22.2";"12.5";"7.71";"17.4"
"15";"C2018/00092-00096";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.65";"13.1";"<1.5";"<1.5";"<1.5";"29.5";"<3.1";"12.2";"<1.5";"<1.5";"10.7";"11.4";"70.8";"33.1";"29.7";"48.3"
"16";"C2018/00097-00100";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.73";"13.7";"<1.4";"<1.4";"<1.4";"33.2";"<2.7";"13.6";"<1.4";"<1.4";"9.5";"10.2";"60.8";"28.5";"24.5";"41.9"
"17";"C2018/00381-00392";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.7";"3.31";"<1.4";"<1.4";"<1.4";"49.1";"6.01";"<2.9";"<1.4";"1.74";"11.2";"8.7";"36.4";"18.9";"17.7";"27.1"
"18";"C2018/00393-00404";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.8";"3.54";"<1.3";"<1.3";"<1.3";"52.9";"6.56";"<2.5";"<1.3";"1.91";"11";"7.4";"31";"17.8";"15.8";"26.8"
"19";"C2018/02088-02099";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"1.5";"18";"0.52";"0.91";"0.55";"16";"0.27";"3";"0.82";"1.1";"4.2";"2.8";"10";"14";"2.4";NA
"20";"C2018/02100-02111";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"2.1";"16";"0.38";"0.61";"0.42";"16";"0.23";"2.6";"0.64";"0.71";"2.8";"2.3";"8.9";"12";"2.6";NA
"21";"C2018/00067-00078";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.33";"21";"2.1";"3.2";"3";"435";"4.1";"34";"3.7";"5.6";"40";"26";"130";"160";"39";NA
"22";"C2018/00079-00090";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.32";"20";"1.8";"4";"2.6";"388";"5.2";"37";"2.1";"4.4";"43";"33";"150";"170";"47";NA
"23";"C2018/05015-05026";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.32";"10";"2.1";"3.9";"2.1";"232";"0.73";"6.2";"1.7";"3.9";"24";"33";"110";"190";"44";NA
"24";"C2018/05027-05038";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.48";"8.2";"2.9";"3.5";"2.3";"121";"0.51";"21";"2.1";"2.3";"13";"17";"57";"92";"23";NA
"25";"C2018/01157-01168";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.4";"7.7";"5.3";"3.8";"3.2";"453";"4.3";"37";"1.9";"4.7";"30";"26";"85";"120";"24";NA
"26";"C2018/01169-01180";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.45";"6.3";"6.1";"14";"5.1";"383";"3.6";"30";"3.6";"3.7";"29";"30";"87";"120";"22";NA
"27";"C2018/00465-00476";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.38";"7";"6.7";"8.5";"3.7";"78";"0.43";"6";"1";"2.1";"7.6";"10";"30";"42";"8.6";NA
"28";"C2018/00477-00488";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.43";"7.6";"<2";"<4";"<1";"46";"1.1";"8.9";"1.4";"2.7";"12";"8.9";"23";"35";"12";NA
"29";"C2018/01412-01423";"UMU";"Perca fluviatilis";"Stensjon";"Muscle";"0.47";"5.4";"<2";"<3";"<1";"89";"1.2";"16";"0.36";"0.86";"5.3";"6.4";"23";"25";"12";NA
"30";"C2018/02649-02660";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.3";"17";"<1";"<2";"<0.5";"22";"0.38";"8.2";"0.78";"1.2";"5.2";"4";"17";"16";"6.6";NA
"31";"C2018/02661-02672";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"0.95";"26";"<1";"<2";"<0.5";"36";"1.3";"9.1";"0.76";"2.3";"9.8";"6.7";"26";"29";"11";NA
"32";"C2018/00092-00096";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.34";"15";"<2";"<4";"<1";"36";"1.8";"7";"0.44";"1.2";"9.1";"9.7";"45";"57";"24";NA
"33";"C2018/00097-00100";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.46";"14";"2.4";"<4";"1.6";"20";"0.73";"7.1";"0.52";"0.84";"7.1";"7.4";"31";"46";"17";NA
"34";"C2018/00381-00392";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.47";"4.8";"3.3";"<4";"1.9";"46";"0.9";"11";"1.5";"2.4";"14";"8.6";"29";"37";"17";NA
"35";"C2018/00393-00404";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.39";"7.7";"<2";"<3";"<1";"56";"1.3";"14";"1.4";"2";"13";"9.8";"32";"41";"20";NA
"36";"C2018/02088-02099";"SU";"Salvelinus";"Abiskojaure";"Muscle";"1.7";"16";"<4";"<4";"<4";"10";"<4";"<6";"<4";"<4";"<4";"<4";"12";NA;"<4";"6.7"
"37";"C2018/02100-02111";"SU";"Salvelinus";"Abiskojaure";"Muscle";"2.5";"16";"<3";"<3";"<3";"9.1";"<3";"<4";"<3";"<3";"<3";"3.1";"11";NA;"<3";"5.8"
"38";"C2018/00067-00078";"SU";"Esox lucius";"Bolmen";"Muscle";"0.55";"12";"<6";"<6";"<6";"179";"17";"<9";"<6";"<6";"25";"25";"115";NA;"55";"60"
"39";"C2018/00079-00090";"SU";"Esox lucius";"Bolmen";"Muscle";"0.56";"12";"<6";"<6";"<6";"179";"17";"<9";"<6";"<6";"27";"25";"125";NA;"56";"69"
"40";"C2018/05015-05026";"SU";"Perca fluviatilis";"Horsan";"Muscle";"0.63";"<5";"<5";"<5";"<5";"102";"<5";"<8";"<5";"<5";"14";"25";"124";NA;"59";"54"
"41";"C2018/05027-05038";"SU";"Perca fluviatilis";"Horsan";"Muscle";"0.72";"5";"<5";"<5";"<5";"70";"<5";"<7";"<5";"<5";"9.1";"16";"73";NA;"32";"32"
"42";"C2018/01157-01168";"SU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.59";"<6";"<6";"<6";"<6";"220";"25";"<9";"<6";"<6";"21";"26";"87";NA;"31";"55"
"43";"C2018/01169-01180";"SU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.63";"<5";"<5";"<5";"<5";"251";"25";"<8";"<5";"<5";"23";"29";"100";NA;"34";"66"
