"";"specimen_ID";"laboratory";"species";"station_name";"area";"organ";"PFHXA";"PFHPA";"PFOA";"PFNA";"PFDA";"PFUNDA";"PFDODA";"PFTRDA";"PFTEDA";"PFPEDA";"LPFBS";"LPFHXS";"BPFHXS";"PFHXS";"LPFOS";"BPFOS";"PFOS";"LPFDS";"BPFDS";"PFDS";"LFOSA";"BFOSA";"FOSA"
"1";"C2019/02273-02284";"SLU";"Clupea harengus";"Alands Sea";"Marine";NA;"<0.213";"<0.045";"6.315070831";"<0.02";"1.171295586";"0.980011422";"0.136328491";"0.309287278";"<0.003";"<0.06";"0.331803925";"3.019744483";"<0.026";"3.019744483";"10.02787092";"3.332926383";"13.3607973";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"2";"C2019/02285-02296";"SLU";"Clupea harengus";"Alands Sea";"Marine";NA;"<0.213";"0.90408805";"1.884280594";"3.390984611";"<0.028";"0.598515134";"<0.016";"0.138560701";"<0.003";"<0.06";"<0.051";"1.454123113";"0.668989547";"2.12311266";"9.719451636";"2.480364628";"12.19981626";"<0.027";"<0.027";"<0.027";"0.616532814";"0.14602093";"0.762553744"
"3";"C2019/03385-03396";"SLU";"Clupea harengus";"Gaviksfjarden";"Marine";NA;"<0.213";"0.819575472";"3.46953405";"1.668255481";"<0.028";"<0.01";"<0.016";"0.213037077";"<0.003";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"4.518908366";"1.27762178";"5.796530146";"<0.027";"<0.027";"<0.027";"0.329358319";"<0.039";"0.329358319"
"4";"C2019/03397-03408";"SLU";"Clupea harengus";"Gaviksfjarden";"Marine";NA;"<0.213";"<0.045";"3.314161874";"0.767064979";"<0.028";"0.169577517";"<0.016";"<0.049";"<0.003";"1.672657912";"<0.051";"<0.026";"0.149744753";"0.149744753";"4.1345424";"0.71746358";"4.85200598";"<0.027";"<0.027";"<0.027";"0.232426079";"<0.039";"0.232426079"
"5";"C2019/06354-06365";"SLU";"Clupea harengus";"Abbekas";"Marine";NA;"<0.213";"<0.045";"1.139959787";"<0.02";"<0.028";"0.512487638";"<0.016";"<0.049";"<0.003";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"4.52173445";"1.863437265";"6.385171714";"<0.027";"<0.027";"<0.027";"3.180011357";"<0.039";"3.180011357"
"6";"C2019/06366-06377";"SLU";"Clupea harengus";"Abbekas";"Marine";NA;"<0.213";"1.086002633";"0.826873385";"1.609506285";"<0.028";"0.423943793";"<0.016";"0.203007538";"<0.003";"<0.06";"<0.051";"<0.026";"0.422007941";"0.422007941";"5.041046349";"2.223938355";"7.264984704";"<0.027";"<0.027";"<0.027";"2.165788466";"<0.039";"2.165788466"
"7";"C2019/05304-05315";"SLU";"Clupea harengus";"Kullen";"Marine";NA;"<0.213";"<0.045";"3.268817204";"<0.02";"<0.028";"0.447744146";"<0.016";"0.376423237";"0.032619776";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"1.161995576";"0.71406286";"1.876058437";"<0.027";"<0.027";"<0.027";"2.064483564";"<0.039";"2.064483564"
"8";"C2019/05316-05327";"SLU";"Clupea harengus";"Kullen";"Marine";NA;"<0.213";"<0.045";"<0.05";"<0.02";"<0.028";"0.377086847";"0.135145494";"0.130504846";"0.642913022";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"1.102728889";"0.633991363";"1.736720252";"<0.027";"<0.027";"<0.027";"3.364895738";"<0.039";"3.364895738"
"9";"C2019/07241-07252";"SLU";"Clupea harengus";"Byxelkrok";"Marine";NA;"<0.213";"0.843160377";"<0.05";"5.019065777";"<0.028";"1.223300971";"0.247832987";"0.155880788";"<0.003";"1.619348055";"<0.051";"2.356097561";"<0.026";"2.356097561";"10.64513391";"2.647112685";"13.29224659";"<0.027";"<0.027";"<0.027";"<0.039";"0.210107893";"0.210107893"
"10";"C2019/07253-07264";"SLU";"Clupea harengus";"Byxelkrok";"Marine";NA;"<0.213";"1.078167116";"<0.05";"6.632166689";"3.299063986";"1.594517419";"0.240100924";"0.316710173";"<0.003";"0.315457413";"<0.051";"1.87688734";"<0.026";"1.87688734";"13.56195974";"2.282993529";"15.84495327";"<0.027";"<0.027";"<0.027";"0.50296098";"0.254184581";"0.757145561"
